key	eligible	unique_scores	policy	counts	allocations	exact_five_by_ten	error
satmut_mpra:F9:SIGN	142	142	minmax	[14, 41, 49, 30, 8]	[11, 11, 10, 10, 8]	False	.
satmut_mpra:F9:SIGN	142	142	p01_p99	[25, 36, 39, 34, 8]	[11, 11, 10, 10, 8]	False	.
satmut_mpra:F9:SIGN_MIN	952	952	minmax	[15, 90, 789, 50, 8]	[11, 11, 10, 10, 8]	False	.
satmut_mpra:F9:SIGN_MIN	952	952	p01_p99	[33, 65, 501, 317, 36]	[10, 10, 10, 10, 10]	True	.
satmut_mpra:GP1BA:SIGN	184	184	minmax	[2, 6, 45, 98, 33]	[2, 6, 14, 14, 14]	False	.
satmut_mpra:GP1BA:SIGN	184	184	p01_p99	[4, 17, 59, 71, 33]	[4, 12, 12, 11, 11]	False	.
satmut_mpra:GP1BA:SIGN_MIN	1239	1239	minmax	[2, 6, 55, 948, 228]	[2, 6, 14, 14, 14]	False	.
satmut_mpra:GP1BA:SIGN_MIN	1239	1239	p01_p99	[33, 45, 132, 864, 165]	[10, 10, 10, 10, 10]	True	.
satmut_mpra:HBB:SIGN	90	90	minmax	[50, 20, 17, 2, 1]	[16, 16, 15, 2, 1]	False	.
satmut_mpra:HBB:SIGN	90	90	p01_p99	[39, 18, 17, 12, 4]	[12, 12, 11, 11, 4]	False	.
satmut_mpra:HBB:SIGN_MIN	596	596	minmax	[59, 480, 53, 3, 1]	[16, 15, 15, 3, 1]	False	.
satmut_mpra:HBB:SIGN_MIN	596	596	p01_p99	[48, 99, 267, 138, 44]	[10, 10, 10, 10, 10]	True	.
satmut_mpra:HBG1:SIGN	181	181	minmax	[1, 35, 65, 56, 24]	[1, 13, 12, 12, 12]	False	.
satmut_mpra:HBG1:SIGN	181	181	p01_p99	[31, 40, 59, 27, 24]	[10, 10, 10, 10, 10]	True	.
satmut_mpra:HBG1:SIGN_MIN	888	888	minmax	[1, 35, 77, 636, 139]	[1, 13, 12, 12, 12]	False	.
satmut_mpra:HBG1:SIGN_MIN	888	888	p01_p99	[40, 43, 82, 525, 198]	[10, 10, 10, 10, 10]	True	.
satmut_mpra:HNF4A:SIGN	119	119	minmax	[55, 53, 8, 1, 2]	[20, 19, 8, 1, 2]	False	.
satmut_mpra:HNF4A:SIGN	119	119	p01_p99	[55, 45, 15, 2, 2]	[16, 15, 15, 2, 2]	False	.
satmut_mpra:HNF4A:SIGN_MIN	931	931	minmax	[14, 869, 43, 3, 2]	[14, 16, 15, 3, 2]	False	.
satmut_mpra:HNF4A:SIGN_MIN	931	931	p01_p99	[37, 252, 526, 86, 30]	[10, 10, 10, 10, 10]	True	.
satmut_mpra:IRF4:SIGN	675	675	minmax	[24, 57, 158, 404, 32]	[10, 10, 10, 10, 10]	True	.
satmut_mpra:IRF4:SIGN	675	675	p01_p99	[39, 46, 106, 320, 164]	[10, 10, 10, 10, 10]	True	.
satmut_mpra:IRF4:SIGN_MIN	1458	1458	minmax	[24, 59, 162, 1180, 33]	[10, 10, 10, 10, 10]	True	.
satmut_mpra:IRF4:SIGN_MIN	1458	1458	p01_p99	[50, 47, 93, 933, 335]	[10, 10, 10, 10, 10]	True	.
satmut_mpra:IRF6:SIGN	306	306	minmax	[12, 37, 200, 53, 4]	[12, 12, 11, 11, 4]	False	.
satmut_mpra:IRF6:SIGN	306	306	p01_p99	[19, 32, 143, 96, 16]	[10, 10, 10, 10, 10]	True	.
satmut_mpra:IRF6:SIGN_MIN	1739	1739	minmax	[12, 37, 1623, 63, 4]	[12, 12, 11, 11, 4]	False	.
satmut_mpra:IRF6:SIGN_MIN	1739	1739	p01_p99	[25, 33, 186, 1406, 89]	[10, 10, 10, 10, 10]	True	.
satmut_mpra:LDLR:SIGN	409	409	minmax	[28, 59, 98, 199, 25]	[10, 10, 10, 10, 10]	True	.
satmut_mpra:LDLR:SIGN	409	409	p01_p99	[36, 56, 92, 190, 35]	[10, 10, 10, 10, 10]	True	.
satmut_mpra:LDLR:SIGN_MIN	1024	1024	minmax	[28, 59, 101, 811, 25]	[10, 10, 10, 10, 10]	True	.
satmut_mpra:LDLR:SIGN_MIN	1024	1024	p01_p99	[39, 45, 67, 492, 381]	[10, 10, 10, 10, 10]	True	.
satmut_mpra:MSMB:SIGN	369	369	minmax	[1, 11, 235, 116, 6]	[1, 11, 16, 16, 6]	False	.
satmut_mpra:MSMB:SIGN	369	369	p01_p99	[56, 136, 103, 57, 17]	[10, 10, 10, 10, 10]	True	.
satmut_mpra:MSMB:SIGN_MIN	1912	1912	minmax	[1, 21, 1718, 166, 6]	[1, 15, 14, 14, 6]	False	.
satmut_mpra:MSMB:SIGN_MIN	1912	1912	p01_p99	[112, 506, 1101, 135, 58]	[10, 10, 10, 10, 10]	True	.
satmut_mpra:MYCrs6983267:SIGN	85	85	minmax	[2, 23, 38, 20, 2]	[2, 16, 15, 15, 2]	False	.
satmut_mpra:MYCrs6983267:SIGN	85	85	p01_p99	[4, 29, 36, 14, 2]	[4, 15, 15, 14, 2]	False	.
satmut_mpra:MYCrs6983267:SIGN_MIN	1809	1809	minmax	[2, 54, 1714, 37, 2]	[2, 16, 15, 15, 2]	False	.
satmut_mpra:MYCrs6983267:SIGN_MIN	1809	1809	p01_p99	[29, 77, 840, 768, 95]	[10, 10, 10, 10, 10]	True	.
satmut_mpra:PKLR:SIGN	277	277	minmax	[19, 40, 130, 61, 27]	[10, 10, 10, 10, 10]	True	.
satmut_mpra:PKLR:SIGN	277	277	p01_p99	[37, 41, 111, 48, 40]	[10, 10, 10, 10, 10]	True	.
satmut_mpra:PKLR:SIGN_MIN	1533	1533	minmax	[19, 43, 351, 1087, 33]	[10, 10, 10, 10, 10]	True	.
satmut_mpra:PKLR:SIGN_MIN	1533	1533	p01_p99	[41, 46, 206, 1051, 189]	[10, 10, 10, 10, 10]	True	.
satmut_mpra:SORT1:SIGN	786	786	minmax	[37, 86, 434, 220, 9]	[11, 10, 10, 10, 9]	False	.
satmut_mpra:SORT1:SIGN	786	786	p01_p99	[47, 58, 327, 266, 88]	[10, 10, 10, 10, 10]	True	.
satmut_mpra:SORT1:SIGN_MIN	1806	1806	minmax	[37, 89, 1386, 285, 9]	[11, 10, 10, 10, 9]	False	.
satmut_mpra:SORT1:SIGN_MIN	1806	1806	p01_p99	[61, 68, 378, 1183, 116]	[10, 10, 10, 10, 10]	True	.
satmut_mpra:TCF7L2:SIGN	129	129	minmax	[15, 72, 35, 6, 1]	[15, 14, 14, 6, 1]	False	.
satmut_mpra:TCF7L2:SIGN	129	129	p01_p99	[21, 65, 13, 21, 9]	[11, 10, 10, 10, 9]	False	.
satmut_mpra:TCF7L2:SIGN_MIN	1801	1801	minmax	[47, 1706, 45, 1, 2]	[16, 16, 15, 1, 2]	False	.
satmut_mpra:TCF7L2:SIGN_MIN	1801	1801	p01_p99	[82, 141, 1044, 469, 65]	[10, 10, 10, 10, 10]	True	.
satmut_mpra:TERT:SIGN	122	122	minmax	[52, 54, 12, 2, 2]	[17, 17, 12, 2, 2]	False	.
satmut_mpra:TERT:SIGN	122	122	p01_p99	[33, 60, 20, 5, 4]	[14, 14, 13, 5, 4]	False	.
satmut_mpra:TERT:SIGN_MIN	865	865	minmax	[87, 734, 40, 2, 2]	[16, 15, 15, 2, 2]	False	.
